#Constant Temperature fit results; RIPL III discrete level library; December 2021 
#  Z   A El         T        dT        U0       dU0NlevNmax  N0  Nc     Umax       Uc     Chi Fit Flag NoX  Xm  EX   sigma
#               [MeV]     [MeV]     [MeV]     [MeV]                    [MeV]    [MeV]                         [MeV]     
#-------------------------------------------------------------------------------------------------------------------------
   1   1 H    0.00000   0.00000   0.00000   0.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   1   2 H    0.00000   0.00000   0.00000   0.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   1   3 H    0.00000   0.00000   0.00000   0.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   1   4 H    0.00000   0.00000   0.00000   0.00000   4   1   1   4  0.00000  2.83000                  0             0.000
   1   5 H    0.00000   0.00000   0.00000   0.00000   5   1   1   1  0.00000  0.00000                  0             0.000
   1   6 H    0.00000   0.00000   0.00000   0.00000   5   1   1   1  0.00000  0.00000                  0             0.000
   1   7 H    0.00000   0.00000   0.00000   0.00000   3   1   1   1  0.00000  0.00000                  0             0.000
   2   3 He   0.00000   0.00000   0.00000   0.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   2   4 He   0.00000   0.00000   0.00000   0.00000  16   1   1  16  0.00000 29.89000                  0             0.000
   2   5 He   0.00000   0.00000   0.00000   0.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   2   6 He   0.00000   0.00000   0.00000   0.00000   8   1   1   2  0.00000  1.79700                  0             0.000
   2   7 He   0.00000   0.00000   0.00000   0.00000   3   1   1   1  0.00000  0.00000                  0             0.000
   2   8 He   0.00000   0.00000   0.00000   0.00000   5   1   1   2  0.00000  3.10000                  0             0.000
   2   9 He   8.24592   5.90874   0.00000   1.00000   6   1   1   2  0.00000  1.10000                  0             0.000
   2  10 He   7.03051   4.27927   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
   3   3 Li   0.00000   0.00000   0.00000   0.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   3   4 Li   0.00000   0.00000   0.00000   0.00000   4   1   1   4  0.00000  2.85000                  0             0.000
   3   5 Li   0.00000   0.00000   0.00000   0.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   3   6 Li   0.00000   0.00000   0.00000   0.00000  14   1   1  13  0.00000 26.59000                  0             0.000
   3   7 Li   0.00000   0.00000   0.00000   0.00000  10   1   1   8  0.00000 11.24000                  0             0.000
   3   8 Li   0.00000   0.00000   0.00000   0.00000  11   1   1   5  0.00000  5.40000                  0             0.000
   3   9 Li   8.24592   5.90874   0.00000   1.00000   8   1   1   1  0.00000  0.00000                  0             0.000
   3  10 Li   7.03051   4.27927   0.00000   1.00000  12   1   1   1  0.00000  0.00000                  0             0.000
   3  11 Li   6.07449   3.12150   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
   3  12 Li   5.31001   2.29055   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
   3  13 Li   4.69032   1.69098   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   4   5 Be   0.00000   0.00000   0.00000   0.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   4   6 Be   0.00000   0.00000   0.00000   0.00000   5   1   1   1  0.00000  0.00000                  0             0.000
   4   7 Be   0.00000   0.00000   0.00000   0.00000   9   1   1   9  0.00000 17.00000                  0             0.000
   4   8 Be   0.00000   0.00000   0.00000   0.00000  28   1   1  17  0.00000 22.00000                  0             0.000
   4   9 Be   8.24592   5.90874  -8.59332  15.78101  33  31   7   5 22.40000  3.04900  1.107E-02 *     0             2.121
   4  10 Be   7.03051   4.27927  -6.64371  10.23983  41  17   7   8 13.85000  7.54200  4.469E-03 *     0             2.109
   4  11 Be   6.07449   3.12150  -8.73755   7.50246  34  17   7   5  7.10000  3.40000  1.811E-02 *     0             1.638
   4  12 Be   5.31001   2.29055  -3.94189   5.44623  30  17   7   4 12.10000  2.71500  1.240E-02 *     0             1.590
   4  13 Be   4.69032   1.69098   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   4  14 Be   4.18226   1.25855   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   4  15 Be   3.76175   0.94919   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   4  16 Be   3.41096   0.73188   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   5   6 B    0.00000   0.00000   0.00000   0.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   5   7 B    0.00000   0.00000   0.00000   0.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   5   8 B    0.00000   0.00000   0.00000   0.00000   5   1   1   5  0.00000 10.61900                  0             0.000
   5   9 B    8.24592   5.90874  -6.47550  16.82032  22  21  14   1 18.60000  0.00000  9.283E-03       0             2.078
   5  10 B    7.03051   4.27927 -13.01080  12.50594  41  24  14  12  8.07000  6.12910  1.346E-02 *     0             1.771
   5  11 B    6.07449   3.12150  -6.56235   9.48412  41  30  14   8 14.56300  7.97784  3.317E-03 *     0             2.155
   5  12 B    5.31001   2.29055  -9.16371   7.71492  62  48  16  15 11.33700  6.00000  5.128E-03 *     0             2.012
   5  13 B    4.69032   1.69098  -5.32003   4.51858  23  15  14   1  7.51600  0.00000  1.449E-02       0             0.000
   5  14 B    4.18226   1.25855   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
   5  15 B    3.76175   0.94919   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   5  16 B    3.41096   0.73188   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
   5  17 B    3.11648   0.58371   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   5  18 B    2.86808   0.48633   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   5  19 B    2.65787   0.42406   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   5  20 B    2.47973   0.38369   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
   5  21 B    2.32886   0.35513   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   6   8 C    0.00000   0.00000   0.00000   0.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   6   9 C    8.24592   5.90874   0.00000   1.00000   7   1   1   4  0.00000  4.40000                  0             0.000
   6  10 C    7.03051   4.27927   0.00000   1.00000   8   1   1   2  0.00000  3.35370                  0             0.000
   6  11 C    6.07449   3.12150  -6.91308   9.13546  37  28  12  14 13.40000  9.20000  3.173E-03 *     0             2.044
   6  12 C    5.31001   2.29055   0.99864   6.61910  62  37   7   6 21.60000  9.93000  6.702E-03 *     0             1.902
   6  13 C    4.69032   1.69098  -2.08364   4.84049  73  30   9   5 13.76000  6.86400  4.075E-03 *     0             1.957
   6  14 C    4.18226   1.25855  -0.19026   3.26737  46  23   7  12 12.96300 10.44900  6.375E-03 *     0             1.904
   6  15 C    3.76175   0.94919  -2.66383   2.33827  31  18   7   6  7.41400  4.78000  1.925E-02 *     0             2.204
   6  16 C    3.41096   0.73188   0.00000   1.00000   7   1   1   2  0.00000  1.76600                  0             0.000
   6  17 C    3.11648   0.58371   0.00000   1.00000  19   1   1   7  0.00000  3.93000                  0             0.000
   6  18 C    2.86808   0.48633   0.00000   1.00000   4   1   1   2  0.00000  1.58800                  0             0.000
   6  19 C    2.65787   0.42406   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
   6  20 C    2.47973   0.38369   0.00000   1.00000   2   1   1   2  0.00000  1.61800                  0             0.000
   6  21 C    2.32886   0.35513   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   6  22 C    2.20155   0.33155   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   6  23 C    2.09460   0.30911   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   7  10 N    7.03051   4.27927   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
   7  11 N    6.07449   3.12150   0.00000   1.00000   8   1   1   2  0.00000  0.73000                  0             0.000
   7  12 N    5.31001   2.29055  -7.27026   5.22803  24  14   7   7  6.40000  3.55800  2.995E-02       0             1.848
   7  13 N    4.69032   1.69098  -2.09743   4.17474  54  19   7  12 11.74000  9.47600  4.177E-03 *     0             1.825
